StripChart:,DataLogger1,,,
Date:, Fri Sep 11 17:31:47 2020,,,
,,,,
Number of Data Variables =,4,,,
Max Number of Data Points =,30000,,,
Number of Data Points =,3617,,,
Time Interval,0, to ,964.4,
,,,,
 ----- , ----- , ----- , ----- , ----- 
Time,PIC-118 - PV,PIC-118 - OP,SPRDSHT-1 - Cell Matrix (G-16),UIC-101 - OP
[seconds],[kPa],[%],[],[%]
46,294.769,42,37.6105,10
46.3,294.769,42,37.6105,10
46.6,294.769,42,37.6105,10
46.9,294.769,42,37.6105,10
47.2,294.769,42,37.6105,10
47.5,294.769,42,37.6105,10
47.8,294.769,42,37.6105,10
48.1,294.769,42,37.6105,10
48.4,294.769,42,37.6105,10
48.7,294.769,42,37.6105,10
49,294.769,42,37.6105,10
49.3,294.769,42,37.6105,10
49.6,294.769,42,37.6105,10
49.9,294.769,42,37.6105,10
50.2,294.769,42,37.6105,10
50.5,294.769,42,37.6105,10
50.8,294.769,42,37.6105,10
51.1,294.769,42,37.6105,10
51.4,294.769,42,37.6105,10
51.7,294.769,42,37.6105,10
52,294.769,42,37.6105,10
52.3,294.769,42,37.6105,10
52.6,294.769,42,37.6105,10
52.9,294.769,42,37.6105,10
53.2,294.769,42,37.6105,10
53.5,294.769,42,37.6105,10
53.8,294.769,42,37.6105,10
54.1,294.769,42,37.6105,10
54.4,294.769,42,37.6105,10
54.7,294.769,42,37.6105,10
55,294.769,42,37.6105,10
55.3,294.769,42,37.6105,10
55.6,294.769,42,37.6105,10
55.9,294.769,42,37.6105,10
56.2,294.769,42,37.6105,10
56.5,294.769,42,37.6105,10
56.8,294.769,42,37.6105,10
57.1,294.769,42,37.6105,10
57.4,294.769,42,37.6105,10
57.7,294.769,42,37.6105,10
58,294.769,42,37.6105,10
58.3,294.769,42,37.6105,10
58.6,294.769,42,37.6105,10
58.9,294.769,42,37.6105,10
59.2,294.769,42,37.6105,10
59.5,294.769,42,37.6105,10
59.8,294.769,42,37.6105,10
60.1,294.769,42,37.6105,10
60.4,294.769,42,37.6105,10
60.7,294.769,42,37.6105,10
61,294.769,42,37.6105,10
61.3,294.769,42,37.6105,10
61.6,294.769,42,37.6105,10
61.9,294.769,42,37.6105,10
62.2,294.769,42,37.6105,10
62.5,294.769,42,37.6105,10
62.8,294.769,42,37.6105,10
63.1,294.769,42,37.6105,10
